M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle
7359,8448,7168,False,torch.bfloat16,torch.bfloat16,False,False
7661,1536,7168,False,torch.bfloat16,torch.bfloat16,False,False
7661,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False
7661,2304,1536,False,torch.bfloat16,torch.bfloat16,False,False
7661,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
7661,6144,7168,False,torch.bfloat16,torch.bfloat16,False,False
7661,7168,1536,False,torch.bfloat16,torch.bfloat16,False,False
7661,7168,4224,False,torch.bfloat16,torch.bfloat16,False,False
7661,8448,7168,False,torch.bfloat16,torch.bfloat16,False,False
7803,1536,7168,False,torch.bfloat16,torch.bfloat16,False,False
7803,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False
7803,2304,1536,False,torch.bfloat16,torch.bfloat16,False,False
7803,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
7803,6144,7168,False,torch.bfloat16,torch.bfloat16,False,False
7803,7168,1536,False,torch.bfloat16,torch.bfloat16,False,False
7803,7168,4224,False,torch.bfloat16,torch.bfloat16,False,False
7803,8448,7168,False,torch.bfloat16,torch.bfloat16,False,False
7877,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
7967,1536,7168,False,torch.bfloat16,torch.bfloat16,False,False
7967,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False
7967,2304,1536,False,torch.bfloat16,torch.bfloat16,False,False
7967,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
7967,6144,7168,False,torch.bfloat16,torch.bfloat16,False,False
7967,7168,1536,False,torch.bfloat16,torch.bfloat16,False,False
7967,7168,4224,False,torch.bfloat16,torch.bfloat16,False,False
7967,8448,7168,False,torch.bfloat16,torch.bfloat16,False,False
8115,1536,7168,False,torch.bfloat16,torch.bfloat16,False,False
8115,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False
8115,2304,1536,False,torch.bfloat16,torch.bfloat16,False,False
8115,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
8115,6144,7168,False,torch.bfloat16,torch.bfloat16,False,False
8115,7168,1536,False,torch.bfloat16,torch.bfloat16,False,False
8115,7168,4224,False,torch.bfloat16,torch.bfloat16,False,False
8115,8448,7168,False,torch.bfloat16,torch.bfloat16,False,False
8127,1536,7168,False,torch.bfloat16,torch.bfloat16,False,False
8127,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False
8127,2304,1536,False,torch.bfloat16,torch.bfloat16,False,False
8127,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
8127,6144,7168,False,torch.bfloat16,torch.bfloat16,False,False
8127,7168,1536,False,torch.bfloat16,torch.bfloat16,False,False
8127,7168,4224,False,torch.bfloat16,torch.bfloat16,False,False
8127,8448,7168,False,torch.bfloat16,torch.bfloat16,False,False
8192,1536,7168,False,torch.bfloat16,torch.bfloat16,False,False
8192,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False
8192,2304,1536,False,torch.bfloat16,torch.bfloat16,False,False
8192,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
8192,6144,7168,False,torch.bfloat16,torch.bfloat16,False,False
8192,7168,1536,False,torch.bfloat16,torch.bfloat16,False,False
8192,7168,4224,False,torch.bfloat16,torch.bfloat16,False,False
8192,8448,7168,False,torch.bfloat16,torch.bfloat16,False,False
15291,6144,7168,False,torch.bfloat16,torch.bfloat16,False,False
15291,7168,1536,False,torch.bfloat16,torch.bfloat16,False,False
15291,7168,4224,False,torch.bfloat16,torch.bfloat16,False,False
15291,8448,7168,False,torch.bfloat16,torch.bfloat16,False,False
15533,6144,7168,False,torch.bfloat16,torch.bfloat16,False,False
15533,7168,1536,False,torch.bfloat16,torch.bfloat16,False,False
15533,7168,4224,False,torch.bfloat16,torch.bfloat16,False,False
15533,8448,7168,False,torch.bfloat16,torch.bfloat16,False,False
15617,6144,7168,False,torch.bfloat16,torch.bfloat16,False,False
15617,7168,1536,False,torch.bfloat16,torch.bfloat16,False,False
15617,7168,4224,False,torch.bfloat16,torch.bfloat16,False,False
15617,8448,7168,False,torch.bfloat16,torch.bfloat16,False,False
16220,6144,7168,False,torch.bfloat16,torch.bfloat16,False,False
16220,7168,1536,False,torch.bfloat16,torch.bfloat16,False,False
16220,7168,4224,False,torch.bfloat16,torch.bfloat16,False,False
16220,8448,7168,False,torch.bfloat16,torch.bfloat16,False,False
