gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw
gfx950,256,256,4096,1536,32,7,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,52.2303,flydsl_moe1_afp4_wfp4_bf16_t64x64x256_w4_bnt0,0.0%,32.4921,flydsl_moe2_afp4_wfp4_bf16_t64x256x256_reduce_bnt2,0.4%,84.7224,0,0,0,798.44,7166.06
gfx950,256,256,4096,1536,64,7,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,80.0128,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w4,0.0%,48.4835,flydsl_moe2_afp4_wfp4_bf16_t64x256x256_reduce_bnt2,0.4%,128.4963,0,0,0,526.44,9425.22
gfx950,256,256,4096,1536,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,140.1963,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w3,0.0%,81.5878,flydsl_moe2_afp4_wfp4_bf16_t32x256x256_atomic_bnt2_persist,2.5%,221.7841,0,0,0,348.58,10907.3
gfx950,256,512,4096,1536,16,7,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,59.158100000000005,flydsl_moe1_afp4_wfp4_bf16_t128x128x256_w2_bnt0,0.0%,32.1308,flydsl_moe2_afp4_wfp4_bf16_t128x256x128_reduce,0.4%,91.2889,0,0,0,1482.01,3376.99
gfx950,256,512,4096,1536,32,7,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,63.123,flydsl_moe1_afp4_wfp4_bf16_t128x128x256_w3,0.0%,44.2774,flydsl_moe2_afp4_wfp4_bf16_t64x256x256_reduce_bnt2_persist_sbm128,0.4%,107.4004,0,0,0,1259.69,5682.21
gfx950,256,512,4096,1536,64,7,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,95.3807,flydsl_moe1_afp4_wfp4_bf16_t64x64x256_w3,0.0%,54.7824,flydsl_moe2_afp4_wfp4_bf16_t64x256x256_reduce_bnt2,0.4%,150.1631,0,0,0,900.96,8086.21
gfx950,256,1024,4096,1536,16,7,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,89.2474,flydsl_moe1_afp4_wfp4_bf16_t128x128x256_w3_bnt0,0.0%,61.2792,flydsl_moe2_afp4_wfp4_bf16_t128x256x128_reduce,0.4%,150.5266,0,0,0,1797.58,2089.82
gfx950,256,1024,4096,1536,32,7,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,98.7048,flydsl_moe1_afp4_wfp4_bf16_t128x64x256_w3_bnt0,0.0%,67.4405,flydsl_moe2_afp4_wfp4_bf16_t128x256x128_reduce_bnt2,0.4%,166.1453,0,0,0,1628.59,3710.98
gfx950,256,1024,4096,1536,64,7,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,121.9502,flydsl_moe1_afp4_wfp4_bf16_t128x128x256,0.0%,78.5045,flydsl_moe2_afp4_wfp4_bf16_t64x256x256_reduce_persist_sbm128,0.4%,200.4547,0,0,0,1349.85,6088.87
gfx950,256,1024,4096,1536,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,191.5024,flydsl_moe1_afp4_wfp4_bf16_t64x64x256_w3_bnt0,0.0%,108.7072,flydsl_moe2_afp4_wfp4_bf16_t64x256x256_atomic_bnt2_persist,2.5%,300.2096,0,0,0,1030.07,8089.35
gfx950,256,2048,4096,1536,16,7,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,156.3734,flydsl_moe1_afp4_wfp4_bf16_t128x128x256_w4_bnt0,0.0%,113.5555,flydsl_moe2_afp4_wfp4_bf16_t128x256x128_reduce,0.4%,269.9289,0,0,0,2004.85,1212.01
gfx950,256,2048,4096,1536,32,7,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,163.2842,flydsl_moe1_afp4_wfp4_bf16_t128x128x256_w2_bnt0,0.0%,121.9617,flydsl_moe2_afp4_wfp4_bf16_t128x256x128_reduce,0.4%,285.2459,0,0,0,1897.19,2205.63
gfx950,256,2048,4096,1536,64,7,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,186.9364,flydsl_moe1_afp4_wfp4_bf16_t128x64x256_w2_bnt0,0.0%,121.3633,flydsl_moe2_afp4_wfp4_bf16_t128x256x128_reduce_bnt2,0.4%,308.2997,0,0,0,1755.32,3999.76
