gfx,cu_num,M,N,K,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,256,4096,2048,21,0,6.6158,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,649.2,990.6,0.0
gfx950,256,512,4096,1024,29,0,6.0414,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_64x128E,710.92,1084.78,0.0
gfx950,256,512,4096,2048,29,0,7.669,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_64x128E,1120.09,1162.2,0.0
gfx950,256,1024,4096,1024,0,0,7.7724,a4w4_blockscale_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x2_intrawave_v3,1105.18,1416.56,0.0
gfx950,256,1024,4096,2048,42,0,10.6522,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x128E,1612.8,1279.69,0.0
gfx950,256,2048,4096,1024,9,0,11.7776,a4w4_blockscale_256x128x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x2_intrawave_v3,1458.69,1691.6,0.0
gfx950,256,2048,4096,2048,43,0,15.1254,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x256E,2271.66,1525.16,0.0
gfx950,256,4096,4096,1024,54,0,16.0201,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,2144.79,2356.34,0.0
gfx950,256,4096,4096,2048,54,0,23.4175,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,2934.54,1791.1,0.0
gfx950,256,8192,4096,1024,54,0,32.5015,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,2114.35,2258.37,0.0
gfx950,256,8192,4096,2048,54,0,45.2903,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3034.62,1759.58,0.0
gfx950,256,16384,4096,1024,54,0,60.4157,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,2274.89,2395.13,0.0
gfx950,256,16384,4096,2048,54,0,84.0982,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3268.53,1845.33,0.0
gfx950,256,32768,4096,1024,36,0,117.1407,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_64x1024E,2346.56,2452.69,0.0
gfx950,256,32768,4096,2048,54,0,166.9903,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3292.14,1833.54,0.0
gfx950,256,1,4608,4096,21,0,8.7269,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,4.33,1082.68,0.0
gfx950,256,2,4608,4096,21,0,8.4284,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,8.96,1122.36,0.0
