gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw,_tag
gfx950,256,16,4096,512,513,11,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,64.5786,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w4_xcd4_kw2_fp4,0.9%,37.2565,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_atomic_nt_sbm32,1.1%,101.8351,0,0,0,21.75,31695.49,
gfx950,256,32,4096,256,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,59.1758,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w4_xcd4_fp4,0.9%,35.0011,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x128_atomic_persist_nt_sbm32,1.2%,94.1769,0,0,0,21.38,17106.17,
gfx950,256,32,4096,512,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,110.7846,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w2_xcd4_fp4,0.9%,60.2431,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_reduce_nt_sbm32,1.1%,171.0277,0,0,0,23.54,18836.82,
gfx950,256,32,4096,512,513,11,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,120.362,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w4_xcd4_kw2_fp4,0.9%,65.7341,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_atomic_nt_sbm32,1.1%,186.0961,0,0,0,23.8,17345.39,
gfx950,256,64,4096,256,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,92.2383,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w4_fp4,0.9%,51.0367,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_atomic_nt_sbm32,1.1%,143.275,0,0,0,28.1,11246.9,
gfx950,256,64,4096,512,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,175.072,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w4_fp4,0.9%,91.0119,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_atomic_nt_sbm32,1.1%,266.0839,0,0,0,30.27,12109.01,
gfx950,256,64,4096,512,513,11,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,173.9676,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w4_kw2_fp4,0.9%,91.0728,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_atomic_nt_sbm32,1.1%,265.0404,0,0,0,33.42,12180.42,
gfx950,256,128,4096,256,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,92.8511,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w4_fp4,0.9%,52.7297,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_atomic_nt_sbm32,1.1%,145.5808,0,0,0,55.32,11074.16,
gfx950,256,128,4096,512,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,175.3957,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w4_fp4,0.9%,92.9001,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_atomic_nt_sbm32,1.1%,268.2958,0,0,0,60.03,12012.11,
gfx950,256,128,4096,512,513,11,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,173.8521,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w3_fp4,0.9%,94.1324,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_atomic_nt_sbm32,1.1%,267.9845,0,0,0,66.11,12049.54,
