M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle
5,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
6,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
7,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
8,16,2048,False,torch.bfloat16,torch.bfloat16,False,False
8,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
9,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
10,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
11,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
12,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
13,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
14,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
15,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
16,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
17,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
18,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
19,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
20,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
21,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
22,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
23,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
24,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
25,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
26,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
27,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
28,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
29,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
30,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
31,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
32,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
33,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
34,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
35,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
36,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
37,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
38,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
39,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
40,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
41,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
42,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
43,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
44,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
45,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
46,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
47,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
48,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
49,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
50,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
51,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
52,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
53,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
54,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
55,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
56,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
57,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
58,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
59,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
60,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
61,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
62,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
63,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
64,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
65,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
66,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
67,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
68,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
69,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
70,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
71,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
72,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
73,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
74,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
75,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
76,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
77,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
78,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
79,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
80,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
81,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
82,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
83,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
84,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
85,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
86,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
87,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
88,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
89,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
90,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
91,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
92,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
93,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
94,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
95,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
96,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
97,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
98,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
99,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
100,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
101,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
102,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
103,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
104,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
105,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
106,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
107,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
108,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
109,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
110,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
111,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
112,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
113,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
114,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
115,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
116,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
117,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
118,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
119,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
120,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
121,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
122,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
123,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
124,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
125,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
126,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
127,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
128,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
129,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
130,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
131,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
132,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
133,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
134,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
135,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
136,16,2048,False,torch.bfloat16,torch.bfloat16,False,False
136,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
137,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
138,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
139,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
140,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
141,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
142,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
143,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
144,16,2048,False,torch.bfloat16,torch.bfloat16,False,False
144,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
145,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
146,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
147,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
148,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
149,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
150,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
151,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
152,16,2048,False,torch.bfloat16,torch.bfloat16,False,False
152,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
153,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
154,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
155,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
156,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
157,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
158,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
159,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
160,16,2048,False,torch.bfloat16,torch.bfloat16,False,False
160,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
161,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
162,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
163,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
164,37888,5120,False,torch.bfloat16,torch.bfloat16,False,False
